DocumentID,Words (split by space)
validation56,move to ban ipods from crossing the street
validation57,india s taj mahal gets facelift
validation58,cheney to congress can t run iraq war by committee
validation59,ganguly handed india squad call up
validation60,fortune looking beyond the iphone
validation61,really the claim the back seat of a car is the safest place to sit
validation62,vaccine mandate upsets legislators
validation63,news analysis iranian boast is put to test
validation64,panel issues bleak report on climate change
validation65,virtual american idol hits right notes
validation66,iraq car bombings kill people wound more than
validation67,stomp steps to no at box office
validation68,google executive acts as goodwill envoy
validation69,filipino woman kidnapped in nigeria
validation70,seahawks bears vie for shot at nfl title
validation71,brown not buried as estate issues loom
validation72,will rob cohen direct third mummy
validation73,eu will urge china to go green
validation74,th century remedy st century potency
validation75,forecasters expect toasty
validation76,sunshine goydos wins sony open
validation77,teacher charged with sex assault
validation78,merck gardasil may fight more strains
validation79,mountain glaciers melting faster united nations says
validation80,snow causes airport closures in britain
validation81,bananaconda inventor is top poet of kids
validation82,shareholders sue apple
validation83,israelis retaliate after attack by lebanese army
validation84,deadly bird flu confirmed in british turkeys
validation85,too little sleep may mean too fat kids
validation86,bathing mom awakes to find baby dead
validation87,visitors to eiffel tower climb to record in
validation88,more sleep healthier slimmer children
validation89,queen battles bond for baftas
validation90,walters on trump poor pathetic man
validation91,ice storm smacks roads power
validation92,iran says it will strike us interests if attacked
validation93,palestinian factions to resume talks
validation94,study men s sweat triggers high sexual arousal in women
validation95,outcry at n korea nuclear test
validation96,russia plans major military build up
validation97,archaeologists find remains of couple locked in a hug
validation98,stenson defends his title at dubai
validation99,taking the plunge
validation100,updates on world s top stories
validation101,man rides stationary bike for hours
validation102,ice storm coating midwest
validation103,a mistrial for lieut watada
validation104,iran warns will hit back at us if attacked
validation105,asean talks end on energy security
validation106,iraqi death toll exceeded in united nations says
validation107,israel intensifies military flights over lebanon
validation108,new gadgets galore at tech show
validation109,another death at georgia aquarium
validation110,us to urge nato afghan spring offensive
validation111,uk letter bombs may be from extremist drivers
validation112,asia seeks breakthrough on north korea
validation113,federer overcomes a ragged start
validation114,rowdy fans ejected from the open
validation115,terai protesters hail historic victory over government
validation116,anger at release of two held over beheading plot
validation117,bush adamant on troops to iraq
validation118,bebe neuwirth gets to wiggle again
validation119,beckham to l a for the game not fame
validation120,sleep more to fight childhood obesity
validation121,abbas rejects temporary state
validation122,investigation of child porn site hits nations
validation123,sleuths close in on odysseus home
validation124,variety johnny depp to make movie of spy poisoning
validation125,ice storm cripples central u s
validation126,park stars as united maintain lead
validation127,prehistoric romeo and juliet discovered
validation128,india s famous landmark gets facelift
validation129,joseph wambaugh s new start
validation130,participant in water drinking contest dies
validation131,apple drops bombshell with iphone
validation132,bollywood s brangelina engaged
validation133,shiite fighters arrested in crackdown iraq says
validation134,rio de janeiro journal drawing lines across the sand between classes
validation135,models health guidelines will they help
validation136,stepping back in time at ski resort
validation137,test cricketer jailed over killing
validation138,walnuts combat unhealthy fats
validation139,apple to vista upgraders wait
validation140,injured sarwan to miss one dayers
validation141,firms on alert for letter bombs
validation142,studios sign off on movie downloads
validation143,asif returns with four wicket haul
validation144,bush authorized iranians arrest in iraq rice says
validation145,porn ring scandal reaches australia
validation146,deputy health minister arrested in us iraqi raid
validation147,senator carl krueger thinks ipods can kill you
validation148,finally senate okays anti terror bill manila
validation149,somalia declares state of emergency
validation150,matt shines with his alpine finish
validation151,bp ceo browne to step down in june
validation152,an iphone by any other name surely not
validation153,life in gaza steadily worsens
validation154,the energy challenge exotic visions how to cool a planet maybe
validation155,easy ways to really save
validation156,shareholders sue apple
validation157,findings can humanity survive want to bet on it
validation158,iran steps up production of weapons grade uranium
validation159,rig threat cargo ship towed ashore
validation160,palestinians say clashes hurt their cause
validation161,male sweat can raise hormones
validation162,vital signs hazards antidepressant linked to fractures in older people
validation163,peron held over s rights abuses
validation164,space life search turns to tv
validation165,super bowl ads of cartoonish violence perhaps reflecting toll of war
validation166,youtube told to drop celeb sex video
validation167,beckham posh and more athlete celebrity couples
validation168,city sets up ice storm shelters
validation169,libby prosecutors await judge s rulings
validation170,review alpha dog misses the point
validation171,republicans plan to block iraq debate
validation172,mixed reaction to china s africa push
validation173,snowed in the canadian rockies
validation174,skip the showers male sweat turns women on study says
validation175,gently weeps lyrics sheet up for sale
validation176,canete wins inaugural joburg open
validation177,rights group halts violent nepal strikes
validation178,real suffer carlos injury setback
validation179,astronaut may have buckled under stress
validation180,gunmen abduct filipino woman in nigeria
validation181,nfl team s fan of the year flag lady
validation182,no rejects police state claim
validation183,malaysian airasia x to fly in july
validation184,kidnapped at nigeria oil base
validation185,guy sweat is babe magnet
validation186,township tourism booming in south africa
validation187,alpha dog misses the point
validation188,iran leader pays nicaragua a visit
validation189,grey s pirates lead people s choice
validation190,terror network
validation191,now it s official iraq s a mess
validation192,snow brings travel misery to england
validation193,james brown s year old son left out of will
validation194,two men killed by london tube train
validation195,us millions fail to buy influence in deadly gaza power play
validation196,plo ministers agreed upon in mecca
validation197,squadron apologies over friendly fire death
validation198,new orleans violence sparks tourism fears
validation199,friendly fire pilot experienced
validation200,space com black hole triplets spotted
validation201,vaccines mandate or choice
validation202,congolese soldiers riot loot over pay issue
validation203,commodities lead europe higher
validation204,ingredient in male sweat raises women s hormone levels
validation205,goetschl ends austrian win drought
validation206,doomsday clock ticking away
validation207,troops massing around somali town
validation208,tariq ramadan has an identity issue
validation209,peretz orders idf to respond with force to north border attacks
validation210,trains crash near thai resort town
validation211,hamas fatah return to unity gov t talks in mecca
validation212,pats fourth quarter rally finishes chargers
validation213,die as us helicopter crashes in iraq
validation214,millionaire secret santa dies
validation215,morrissey may cheer up eurovision
validation216,christian values guide dungy and the colts
validation217,israeli woman s tirade spurs pm outrage
validation218,passing exchange becomes political flashpoint
validation219,police probe church fires half mile apart
validation220,italy to try us soldier for agent s iraq death
validation221,depp to star in spy poisoning film
validation222,s jack bauer returns
validation223,us airways boosts bid for delta
validation224,even before its release world climate report is criticized as too optimistic
validation225,second hanging also went awry iraq tape shows
validation226,howell takes one shot lead in sony open
validation227,psych checks reviewed after astronaut s crack up
validation228,pap test a mainstay against cervical cancer may be fading
validation229,martins leads newcastle fightback
validation230,ps pricey but impressive
validation231,pluto s revenge word of the year award
validation232,european space agency
validation233,hackers strike at key internet servers
validation234,hussein co defendants executed
validation235,memo from frankfurt germany relives s terror as seek release from jail
validation236,blissing out in ojai
validation237,houston she s got some problems
validation238,amazon com has best ever sales
validation239,hackers attack root servers
validation240,video games can improve your vision
validation241,internet attacked did anyone notice
validation242,in washington contractors take on biggest role ever
validation243,floods force malaysia evacuations
validation244,on myspace girls seek friends boys flirt
validation245,tests of drug to block h i v infection are halted over safety
validation246,zoo polar bear to have root canal
validation247,europe take big royal trophy lead
validation248,israel to install cameras to show live mughrabi footage
validation249,we lit our last candle yesterday
validation250,google buys youtube for bn
validation251,psp number one sony platform in japan
validation252,england include giles in wc squad
validation253,beckham won t play again for real
validation254,eight years for damilola killers
validation255,pc world editor slain at california home
validation256,hands on doomsday clock move forward
validation257,zach braff says he has mild depression
validation258,investigation of child porn site hits nations usa today
validation259,science panel calls global warming unequivocal
validation260,news baby pandas baby pandas baby pandas
validation261,get ready for the earnings
validation262,germany agonizes over a brain drain
validation263,iran and nicaraguan leaders meet
validation264,secret hotels in irish countryside
validation265,fine wines in british columbia
validation266,philippine president welcomes senate approval of anti terror bill
validation267,small jet crashes on takeoff killing
validation268,bigger more aggressive rats infesting uk
validation269,travel leisure next island hot spot st lucia
validation270,real mallorca rock leaders sevilla
validation271,iran s boast on uranium enrichment is put to test
validation272,personal health for teenagers the car is the danger zone
validation273,bird watchers flock to see rare owl
validation274,eye on cosmos is lost to short circuit on hubble
validation275,too young for this facing cancer under
validation276,unilever group names new chairman
validation277,minister slams airlines on carbon
validation278,rare optimism as north korea talks reach crossroads
validation279,man beheaded in southern thailand
validation280,china s nightmare scenario
validation281,annual diving contest in south korea proves a chilly challenge
validation282,blair says he regrets delays in british soldier s inquest
validation283,iraqi forces detain official suspected in shia conspiracy
validation284,wellcome awards anti fat research
validation285,fingers crossed for north korea
validation286,no intention of war with iran us says
validation287,what newsom faces in aftermath of scandal
validation288,maggie gyllenhaal s globes babysitter mom
validation289,as inflation soars zimbabwe economy plunges
validation290,pledge i was abused in frat hazing
validation291,experts fear likely shackled boy
validation292,what s behind the chopper crashes in iraq
validation293,freed muslim terror suspect says britain is police state
validation294,blair apologises over friendly fire inquest
validation295,depp to make litvinenko movie
validation296,why gas follows oil up but not down
validation297,cravings still there sez tara
validation298,bill would strip convicted legislators of pensions
validation299,bears watch as lead slips away
validation300,in clue to addiction brain injury halts smoking
validation301,in rigorous test talk therapy works for panic disorder
validation302,rice u s won t pull plug on iraq
validation303,on road to kosovo independence a warning go slow
validation304,mistrial for officer who refused to go to iraq
validation305,rebels to join nepal parliament
validation306,emi warns on profits boss goes
validation307,subway collapse caught on camera
validation308,stinky but true men s sweat is made for love
validation309,politics us reprieve for officer who denounced immoral war
validation310,hunters stalk world s tallest trees
validation311,fuel spill may lead to missing jet
validation312,sri lanka floods displace
validation313,justin timberlake cameron diaz announce split
validation314,iran to hit us interests if attacked
validation315,israel says hopes to keep lebanon border calm
validation316,cisco sues apple over iphone name
validation317,two palestinians killed near fence
validation318,earthlink ceo dies at age
validation319,a star dies a family feud is born
validation320,carter was a disaster said ford
validation321,super bowl mvp manning insists he s one of the guys
validation322,personal health the importance of knowing what the doctor is talking about
validation323,israel s peretz urges halt to contentious jerusalem construction
validation324,peter jackson will never work for me again
validation325,u s keeps iran options open
validation326,european shares hit fresh highs
validation327,for women nothing s like the smell of men s sweat
validation328,looking beyond the iphone
validation329,freed kidnap suspect my terror at police raid
validation330,far away super bowl s losers will be champs
validation331,woman dies after water binge
validation332,mancuso sparks u s celebrations
validation333,asean urges north korea resolution
validation334,late penalty costs roma the points
validation335,mistrial declared in teacher student rape case
validation336,bookworm adventures wordsmith s joy
validation337,kylie s love split
validation338,ipod good for video games
validation339,review virtual american idol hits right notes
validation340,leo battles himself
validation341,attorneys point fingers in fight between ryan o neal and son
validation342,john grisham set for court drama
validation343,bill gates and craig mundie vista is secure employees are not
validation344,iraqis fault delayed u s plan in attack
validation345,boy scouts blamed for starting wildfire
validation346,china urges un action on n korea
validation347,scorpion on a plane a pantful of pain
validation348,male sweat boosts women s hormone levels
validation349,mbeki on the big visit from the chinese
validation350,french right nominates sarkozy
validation351,israeli lebanese clash on border
validation352,north korea claims nuclear test
validation353,talks begin on somalia peacekeepers
validation354,action games improve eyesight
validation355,a small part of the brain and its profound effects
validation356,idf shells lebanese army positions across northern border
validation357,thailand missing years after taking wrong bus
validation358,ballerina sparks anti fascist row
validation359,internet boom in china is built on virtual fun
validation360,review ps pricey but impressive
validation361,machinery orders drive asia upward
validation362,lost s fox i m a liar and a cheat
validation363,russia to strengthen its military muscle
validation364,at libby trial russert of nbc gives and gets
validation365,north korea ready to discuss first steps to nuclear resolution
validation366,victim gunman bought drink after shooting
validation367,ferrer victorious in spanish duel
validation368,uk workers on alert for letter bombs
validation369,did nasa accidentally kill life on mars
validation370,new vaccine for cervical cancer could prove useful in men too
validation371,search on for victims of subway collapse
validation372,human error caused helios crash
validation373,us to prod nato allies for more troops to defeat taliban
validation374,microsoft supports openid authentication standard
validation375,no buyer in sight for napster
validation376,briefly preloaded ipods wal mart movies apple stores
validation377,china says rich countries should take lead on global warming
validation378,north korea may begin to dismantle nukes
validation379,tracking down hi tech crime
validation380,barack obama formally announces bid for president
validation381,kidnappers seize two in nigeria
validation382,indonesia may sell not give bird flu virus to scientists
validation383,attack video saddens friendly fire widow
validation384,europe retain trophy with big win
validation385,cutting edge accessories for digital music players
validation386,ice storm descends on central u s
validation387,snow brings travel misery to england
validation388,indonesia flood forces from homes
validation389,iraqi health minister seized in raid
validation390,ice storm brings chaos in u s
validation391,stinky flower mystery solved
validation392,congressman rebukes u s allies for lack of support in afghanistan
validation393,roddick overcomes federer in final
validation394,prehistoric romeo and juliet discovered
validation395,donald and goydos share sony lead
validation396,u s and iraqis are wrangling over war plans
validation397,sea search for missing microsoft scientist
validation398,iran to hit us interests if attacked
validation399,blair terror battle will be long
validation400,bear cub returned to the wilderness
validation401,carrefour sales growth falls short
validation402,allied with democrats lieberman easily aligns with republicans
validation403,in the rockies pines die and bears feel it
validation404,iran to strike us interests if attacked
validation405,nipple covers other star secrets
validation406,apple no itunes for you if you have vista
validation407,smokestacks in a white wilderness divide iceland
validation408,that ll cost ya
validation409,botched hangings in iraq speed sectarianism
validation410,male sweat raises female hormones
validation411,gop senators to force debate on troops in iraq
validation412,bangladesh ends curfew amid unrest
validation413,italy s dispute with us over iraq shooting
validation414,here come the globes
validation415,snow causes transport chaos in britain
validation416,snow causes airport closures in britain
validation417,second opinion girl or boy as fertility technology advances so does an ethical debate
validation418,heavy snow causes travel chaos and shuts schools
validation419,barbaro s legacy saving other horses
validation420,luxury digs in south carolina s lowcountry
validation421,dozens killed in baghdad bombing
validation422,ice storms kill across nation
validation423,de villiers takes over dakar lead
validation424,vietnam becomes wto s th member
validation425,south african trio share advantage
validation426,observatory poison begets poison
validation427,action intensity boosts vision
validation428,why the smell of a man s armpit is a turn on
validation429,nokia xpress music
validation430,dell to cut bonuses trim management
validation431,second drop in cancer deaths could point to a trend researchers say
validation432,tv game shows go interactive
validation433,boy missing since found alive
validation434,us north korea signed nuclear memo
validation435,russia honors sputnik designer
validation436,in kenya s capital a sense that danger is ever stronger
validation437,bill thanks for the rsa memories and laughs
validation438,friendly fire pilot experienced
validation439,myspace welcomes french friends
validation440,airlines uk airport runway unsafe
validation441,the amounts you have to pay for a bomb scare
validation442,in egypt rice speaks softly
validation443,weekly nielsen yvonne de carlo munsters star dead
validation444,senate votes to revoke pensions
validation445,earthlink ceo dies at age
validation446,software giant sap misses target
validation447,vital signs mental abilities folic acid may improve thinking skills
validation448,de villiers stretches overall lead
validation449,families celebrate return of sons
validation450,china detains after body parts found in mail
validation451,north korea ready to discuss nuke disarmament
validation452,for women nothing s like the smell of men s sweat
validation453,nadal wants australian open crown
validation454,beijing journal olympic construction unearths ancient treasure trove
validation455,chinese president arrives in mozambique african tour nearly over
validation456,reclusive mockingbird author attends show
validation457,asia near pact on energy security
validation458,philippine anti terror law delayed until june
validation459,ex suspect slams anti terror laws
validation460,study detects a gene linked to alzheimer s
validation461,panda cub makes her debut
validation462,harris haul puts south africa on top
validation463,weight loss drug to be sold over the counter
validation464,beckham outlines reasons for move
validation465,study finds gritty air raises heart disease risk in older women
validation466,venezuela iran fight u s dominance
validation467,housewives star marcia cross on bed rest
validation468,blog here come the globes
validation469,greek police hunt embassy attackers
validation470,apple warns itunes users to wait on vista
validation471,tsunami fears ease after quake
validation472,china considers eurobond reserves
validation473,underarm bowls them over
validation474,at least die as blast levels baghdad market
validation475,new mccain team made attack ads he once faulted
validation476,deaths as bird flu flares in asia
validation477,hamas fatah leaders pledge to meet until they reach agreement
validation478,officers had rapport with alleged abductor
validation479,no e book for harry potter vii
validation480,review nokia xpress music
validation481,can t do this anymore not jack
validation482,black hole triplets spotted
validation483,israel weighs old city project webcast
validation484,indonesian bird flu deaths hit
validation485,somali refugees cut off from aid
validation486,microsoft downplays vista speech recognition hack
validation487,next island hot spot st lucia
validation488,italy to hold no show trial of bronx gi in iraq slay
validation489,rescued boys parents hail miracle
validation490,canadians tracked in child porn ring
validation491,teen hacks venezuelan government web sites
validation492,russia plans new icbms nuclear subs
validation493,gere cheers sex workers in aids fight
validation494,study male sweat causes female hormones to rise
validation495,collision on icy road kills
validation496,surprise china cuts price of gas
validation497,what the godfather of soul meant to me
validation498,new mars orbiter spots pathfinder landing site
validation499,mass venezuela opposition rally
validation500,glamour and borat at golden globes
test1,terror officials see al qaeda chiefs regaining power
test2,ivrea journal in italian town a civics lesson from pelting neighbors
test3,iraqi sunni lands show new oil and gas promise
test4,princess and heir of franz ferdinand fights to repeal a law and gain a castle
test5,a film star in kampala conjuring aminos ghost
test6,militants attack u s base in iraq
test7,north africa feared as staging ground for terror
test8,iran says sunnis using pakistan as base planned fatal bombing
test9,anglicans rebuke u s branch on same sex unions
test10,homemade bombs kill on indian train
test11,al qaeda chiefs are seen to regain power
test12,chvez threatens to jail violators of price controls
test13,bush declares iran s arms role in iraq is certain
test14,accord on north korea is announced
test15,u s says powerful iraqi cleric is living in iran
test16,baghdad plan is a success iraq prime minister tells bush
test17,iraqi sunni lands show new oil and gas promise
test18,dispute over iraqi cleric said to have gone to iran
test19,planning seen in iraqi attacks on u s copters
test20,in the world of life saving drugs a growing epidemic of deadly fakes
test21,basics a mammal in winter with a furnace of her own
test22,books on science the problems in modeling nature with its unruly natural tendencies
test23,believing scripture but playing by science s rules
test24,a familiar and prescient voice brought to life
test25,findings a cool million for a climate backup plan
test26,call it serendipity a missing piece of washington s war tent is found
test27,free will now you have it now you don t
test28,archaeologists find signs of early chimps tool use
test29,wizardry at harvard physicists move light
test30,the summit a slap in the face of the palestinians
test31,moscow says palestine israeli contacts key to mideast peace
test32,mideast summit edns with little progress
test33,india decries an act of sabotage
test34,pakistan india peace talks planned despite bombings
test35,czechs poles get missile warning
test36,russia warns us against missile bases in east europe
test37,cheney starts visit to japan australia
test38,china cheney shores up the trilateral alliance
test39,iraq insurgents attack us base
test40,us soldiers die in day of violence
test41,iraqi suicide attack kills two us troops as militants fight purge
