DocumentID,Words (split by space),anger,disgust,fear,joy,sad,surprise
train116,silly and substantial,0,0.3333,0,0.6667,0,0
train117,official laughs for borat,0.2286,0.2095,0,0.3238,0.2381,0
train118,speaker hastert testifies before panel probing sex scandal,0.2195,0.439,0,0,0.3415,0
train119,tom cruise and katie holmes set wedding date,0,0,0,0.7671,0,0.2329
train120,martian life could have evaded detection by viking landers,0.1176,0,0.0588,0,0.1176,0.7059
train121,ukraine gas deal marred by fears,0.14,0.1333,0.56,0,0.1667,0
train122,marathon victory comes at heavy cost,0.0617,0,0,0.4691,0.4691,0
train123,college tuition continues climbing,0.4122,0.2366,0.0229,0,0.3053,0.0229
train124,german paper shows soldiers desecrating skull,0.2638,0.4049,0.1043,0,0.227,0
train125,war is close ethiopia tells somali rebels,0.268,0.1701,0.2938,0.0619,0.2062,0
train126,advantage cardinals with suppan in game,0,0,0,1,0,0
train127,nasa spacecraft to measure sun,0,0,0,0.5273,0,0.4727
train128,sony hates europeans will prevent the importing of ps,0.5313,0.125,0,0,0,0.3438
train129,flu vaccine appears safe for young children,0,0,0.1176,0.8824,0,0
train130,google to launch yet another search tool,0,0,0,0.7778,0,0.2222
train131,tropical storm paul s outer bands hit mexico s baja california,0.1524,0,0.3048,0,0.5429,0
train132,israeli bomblets plague lebanon,0.2596,0.2308,0.3221,0,0.1875,0
train133,new indonesia calamity a mud bath is man made,0.2727,0.2172,0.2172,0,0.2172,0.0758
train134,u s weighs sanctions against north korea,0.3813,0.2,0.1438,0,0.275,0
train135,rice in baghdad insists that iraqis are,0.2868,0.2558,0.2016,0,0.2558,0
train136,senator says u s should rethink iraq strategy,0,0,0,0.3125,0.3438,0.3438
train137,german chief forges accord on financing health care,0,0,0,0.6875,0,0.3125
train138,turkish writers say efforts to stifle speech may backfire,0.3311,0.0743,0.3041,0.0541,0.2365,0
train139,kurdish lawmaker killed in an attack in baghdad,0.2281,0.1842,0.3289,0,0.2588,0
train140,anti u s attack videos spread on the internet,0.2864,0.2045,0.2636,0,0.2455,0
train141,women face greatest threat of violence at home study finds,0.2082,0.2531,0.2327,0,0.2367,0.0694
train142,appeal by chinese researcher for times may soon be heard,0,0,0,0.8889,0,0.1111
train143,brazil air force cites faults and confusion in fatal crash,0.1095,0,0.3139,0,0.4964,0.0803
train144,a mix of oil and environmentalism,0.2339,0.2339,0.2661,0,0.2661,0
train145,immigrants and french reach deal in standoff,0.1875,0,0,0.5208,0.2917,0
train146,genghis khan beer mongolia grimaces,0.3636,0,0,0.2727,0,0.3636
train147,dead bachelors in remote china still find wives,0,0,0,0.3279,0.2295,0.4426
train148,paris journal smoking no longer tres chic in france,0,0.0597,0,0.597,0.0299,0.3134
train149,an old letter casts doubts on iran s goal for uranium,0,0,0.3472,0.1111,0,0.5417
train150,u s warns north koreans about nuclear test,0.211,0,0.4312,0,0.3578,0
train151,global sludge ends in tragedy for ivory coast,0,0,0.1279,0.0465,0.8256,0
train152,equipment on plane in brazil collision may have been faulty,0.2103,0.1416,0.1974,0,0.2876,0.1631
train153,new indonesia calamity a mud bath is man made,0.326,0.2265,0.0331,0,0.3425,0.0718
train154,iraqi journalists add laws to list of dangers,0.0737,0,0.4947,0,0.2947,0.1368
train155,u n force is treading lightly on lebanese soil,0,0,0.3636,0.2727,0.3636,0
train156,cleric said to lose reins over part of iraqi militia,0.226,0.226,0.226,0,0.2603,0.0616
train157,citing spy agencies study democrats seek iraq changes,0,0,0,0.4783,0,0.5217
train158,opera canceled over a depiction of muhammad,0.0968,0,0,0,0.9032,0
train159,military officials add to u s criticism of iraq s government,0.2778,0.0222,0.0778,0.3333,0,0.2889
train160,teacher in hiding after attack on islam stirs threats,0.1461,0.0225,0.427,0,0.4045,0
train161,combative bush releases parts of terror study,0.281,0.1405,0.405,0,0,0.1736
train162,growing unarmed battalion in qaeda army is using internet to get the message out,0.2254,0.2139,0.3237,0,0.2023,0.0347
train163,iraqi linked to sunni bloc is held in plot military says,0.2336,0.2409,0.2993,0,0.2263,0
train164,seduced by snacks no not you,0.2955,0.3409,0,0.0455,0.3182,0
train165,friends for life an emerging biology of emotional healing,0,0,0,0.8447,0,0.1553
train166,alzheimer s drugs offer no help study finds,0.1765,0,0.0856,0,0.4866,0.2513
train167,across europe worries on islam spread to center,0.1235,0.1111,0.2346,0,0.5309,0
train168,cooking defines sephardic jews at sukkot,0,0,0,1,0,0
train169,fitness bodies in motion clean and sober,0,0,0,1,0,0
train170,in god s name religion based tax breaks housing to paychecks to books,0,0,0,0.5,0,0.5
train171,yankee dies in plane crash official says,0,0,0.0882,0,0.9118,0
train172,an elephant crackup,0.1964,0,0,0.25,0.5536,0
train173,with youtube grad student hits jackpot again,0,0,0,0.6316,0,0.3684
train174,dow flirts with record highs again,0,0,0,0.5678,0,0.4322
train175,tropical storm isaac forms in atlantic,0,0,0.8958,0,0.1042,0
train176,new iraq terror tape calls for abducting foreigners,0.1814,0.1716,0.4657,0,0.1814,0
train177,deep regret for ex hp exec,0,0.08,0,0,0.8,0.12
train178,opportunity knocks on geologist s dream crater,0,0,0,0.8125,0,0.1875
train179,squirrel jumps boy in park rabies suspected,0.153,0.0219,0.3333,0,0.153,0.3388
train180,girl left comatose after dental visit dies,0.1718,0.1718,0.2731,0.0529,0.2907,0.0396
train181,porn star candidate campaigns on campus,0.2095,0.2432,0,0.1892,0.223,0.1351
train182,school ends football season after start,0,0,0,0,0.5,0.5
train183,charlie sheen to become highest paid sitcom star,0.0429,0.0429,0,0.7714,0,0.1429
train184,jon stewart mocks benefits of cnn s i,0.25,0.25,0,0,0.0962,0.4038
train185,ashton kutcher tells secret to ryan seacrest,0,0,0,0.4211,0,0.5789
train186,nails on chalkboard study earns ig,0.1081,0.5405,0,0.0811,0,0.2703
train187,gunman fine before shooting,0.12,0.12,0.12,0,0.44,0.2
train188,marijuana may stave off alzheimer s,0,0.027,0,0.3378,0,0.6351
train189,kentucky seeks alcohol huffing ban,0.0488,0.0488,0.2073,0.3902,0,0.3049
train190,toddler died from tainted spinach,0.2646,0.1166,0.1211,0,0.3991,0.0987
train191,judge dismisses karr s porn case,0.2143,0.2143,0,0.1071,0,0.4643
train192,die in hour kashmir standoff,0.2451,0.1863,0.3039,0,0.2647,0
train193,slain amish girls laid to rest,0.1571,0.05,0.25,0,0.5429,0
train194,flee plant fire,0.1974,0,0.5592,0,0.2434,0
train195,cher auction fetches double pre sale estimates,0,0,0,0.6818,0,0.3182
train196,stars scuffle on grey s anatomy,0.4839,0.5161,0,0,0,0
train197,probe under way in yankee crash,0.0253,0,0.1772,0.1013,0.6962,0
train198,amish schoolhouse torn down,0.1726,0.1607,0.2202,0,0.4345,0.0119
train199,warner will not run in,0,0,0,0,0.9167,0.0833
train200,reid land deal under scrutiny,0.2,0,0,0,0.3,0.5
train201,flooding washes out road to valdez alaska,0,0,0.4235,0,0.4588,0.1176
train202,briton admits u s bomb plot role,0.219,0.2,0.2667,0,0.3143,0
train203,commentary minutemen have a right to be idiotic,0.7778,0,0,0.2222,0,0
train204,madonna files adoption papers,0,0,0,0.6522,0,0.3478
train205,gunmen kill at iraqi tv station,0.1505,0.1667,0.371,0,0.3118,0
train206,hastert sorry for scandal but not quitting,0.0976,0.1707,0,0,0.6585,0.0732
train207,ex jonbenet suspect child porn case dropped,0.3571,0.3571,0,0.2857,0,0
train208,waste plant fire forces to evacuate,0.194,0.0448,0.2239,0.0448,0.4925,0
train209,toddler died from e coli tainted spinach,0.1761,0.1831,0.0563,0,0.5845,0
train210,disturbing finds in child sex raids,0.3226,0.3806,0.0258,0,0.271,0
train211,magazine lists women who had abortions,0.3509,0.2368,0,0,0.2895,0.1228
train212,pot smokers may avoid alzheimer s study says,0,0,0.05,0.125,0,0.825
train213,student starts white men s club on campus,0.0693,0.2871,0.1287,0,0.3267,0.1881
train214,kentucky wants to ban alcohol inhalers,0,0,0.2759,0.1724,0,0.5517
train215,peter pan flies into chapter two,0,0,0,0.4902,0,0.5098
train216,teen repellent inventor wins infamous prize,0,0.2564,0,0.5256,0,0.2179
train217,cher s dress car bed have new owners,0,0,0,0.8947,0,0.1053
train218,dow hits new record eyes,0,0,0,1,0,0
train219,ex virginia gov not running for president,0,0,0,0,0,1
train220,yankee pitcher s pilot log found,0,0,0,0,0,1
train221,dem leader s million land deal under scrutiny,0.2727,0.1818,0,0.1091,0.2364,0.2
train222,dad locked up son watched on tv police say,0.0727,0.4182,0,0,0.5091,0
train223,navarrette minutemen have a right to be idiotic,0.1111,0,0,0.2222,0.4815,0.1852
train224,pit bulls jump miniature pony leave her bloody,0.04,0.33,0.26,0,0.37,0
train225,alaska town cut off from rest of state by flood,0.0294,0,0.549,0,0.4216,0
train226,trailblazing trio protects city by the bay,0,0,0,0.8286,0,0.1714
train227,madonna files adoption papers in malawi,0,0,0,0.7213,0,0.2787
train228,dr mcdreamy choked in grey s scuffle,0,0,0.2581,0,0.5269,0.2151
train229,poetry prize awarded,0,0,0,0.8866,0,0.1134
train230,las vegas honour for tiger pair,0,0,0,0.6814,0,0.3186
train231,uk characters boosting box office,0,0,0,0.6321,0,0.3679
train232,cher items snapped up at auction,0,0,0,0.9,0,0.1
train233,griffiths scorns withnail play,0.2222,0.6481,0,0.0741,0.0556,0
train234,lily allen wins web music award,0,0,0,0.8455,0,0.1545
train235,costner appeals in casino wrangle,0.7534,0,0,0,0.2055,0.0411
train236,beyonce copyright claim rejected,0.8333,0,0,0,0,0.1667
train237,cohn gunman jailed for years,0.1831,0,0.1408,0.3803,0.2958,0
train238,melua s deep sea gig sets record,0,0,0,0.9,0,0.1
train239,sri lanka clashes kill troops,0.1721,0,0.2131,0,0.6148,0
train240,gunmen kill in iraq tv raid,0.2475,0.1634,0.2129,0,0.3762,0
train241,italy drops sicily bridge plans,0,0,0,0,0,1
train242,amish killings school demolished,0.1784,0.1784,0.227,0,0.2378,0.1784
train243,pamuk wins nobel literature prize,0,0,0,0.899,0,0.101
train244,madonna adoption bid approved,0,0,0,0.6234,0,0.3766
train245,man admits uk us terror bomb plot,0.1941,0.2529,0.3588,0,0.1941,0
train246,who are you calling fat,0,0.5714,0,0,0.4286,0
